 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 2005  1 16     0.23752     0.20890     0.16922     0.18828     0.43962     0.23421     0.22536     0.17588     0.32258     0.96978     0.27009     0.40324     0.39403     0.30610     0.74513
 2005  2 14     0.24197     0.19085     0.14963     0.15781     0.41287     0.20884     0.27978     0.12499     0.22024     0.49323     0.27293     0.41444     0.22284     0.30858     0.44922
 2005  3 16     0.25496     0.19122     0.15202     0.15639     0.21099     0.20716     0.23628     0.13118     0.15394     0.31304     0.28717     0.36637     0.22288     0.27426     0.33372
 2005  4 15     0.23238     0.18780     0.14911     0.14721     0.15309     0.22711     0.20993     0.14382     0.17714     0.17262     0.28090     0.35284     0.20642     0.22669     0.20827
 2005  5 16     0.21800     0.18462     0.15439     0.15736         NaN     0.24161     0.19072     0.15177         NaN         NaN     0.28748     0.39746     0.21975     0.21446     0.18866
 2005  6 15     0.21506     0.17645     0.18032         NaN         NaN     0.22273     0.18420         NaN         NaN         NaN     0.26360     0.52121     0.24714         NaN         NaN
 2005  7 16     0.22077     0.16271     0.17462     0.19168         NaN     0.23212     0.17955         NaN         NaN         NaN     0.30292     0.75217     0.24668     0.17662         NaN
 2005  8 16     0.21759     0.15987     0.15923     0.15856     0.16230     0.27727     0.17749     0.13687     0.14719         NaN     0.25976     0.55445     0.20024     0.16923     0.17561
 2005  9 15     0.24568     0.16671     0.17292     0.16685     0.13447     0.34452     0.19475     0.14729     0.15138         NaN     0.30733     0.60350     0.19131     0.18141     0.18484
 2005 10 16     0.26568     0.19828     0.21398     0.18990     0.57726     0.30903     0.20450     0.15667     0.17596     0.09872     0.33057     0.63373     0.23636     0.26142     0.18965
 2005 11 15     0.26956     0.21687     0.29246     0.27375     0.18237     0.28528     0.21089     0.19941     0.36362     0.82140     0.31147     0.58136     0.36279     0.55483     0.39011
 2005 12 16     0.25221     0.23956     0.25164     0.26845     0.33629     0.23224     0.23392     0.24190     0.34118     1.04278     0.33920     0.49498     0.40955     0.51587     0.70092
 2006  1 16     0.21252     0.20106     0.18556     0.22084     0.62352     0.20848     0.20258     0.22019     0.33082     0.83398     0.29246     0.50046     0.30146     0.34993     0.93655
 2006  2 14     0.19119     0.16352     0.15793     0.18691     0.20349     0.20538     0.22201     0.12564     0.24065     0.71989     0.24920     0.43259     0.29920     0.25323     0.58927
 2006  3 16     0.20779     0.17720     0.15817     0.17810     0.15256     0.21918     0.19104     0.12487     0.15171     0.42787     0.25988     0.37563     0.24381     0.24516     0.47093
 2006  4 15     0.21078     0.17472     0.16764     0.15653     0.12640     0.23771     0.19427     0.13034     0.14029     0.29647     0.29265     0.36648     0.20607     0.27019     0.26554
 2006  5 16     0.20892     0.17237     0.16390     0.17648     0.16278     0.24254     0.19521         NaN         NaN         NaN     0.27602     0.42518     0.23034     0.18368     0.17286
 2006  6 15     0.21103     0.17402     0.18943     0.28284         NaN     0.22876     0.17825         NaN         NaN         NaN     0.26702     0.44959     0.21136         NaN         NaN
 2006  7 16     0.21711     0.15979     0.17508     0.18480         NaN     0.21859     0.17388         NaN         NaN         NaN     0.28095     0.42779     0.20936     0.20399         NaN
 2006  8 16     0.21786     0.16051     0.16341     0.15328     0.15756     0.24682     0.17026     0.15148     0.14100         NaN     0.29745     0.44770     0.18714     0.17191     0.16237
 2006  9 15     0.22074     0.16331     0.18790     0.16367     0.11595     0.33150     0.17360     0.14361     0.14806     0.16527     0.35698     0.75149     0.20733     0.19493     0.22656
 2006 10 16     0.24108     0.20378     0.24507     0.19624     0.12495     0.32980     0.19116     0.15668     0.18591     0.17925     0.36654     0.67952     0.24527     0.27010     0.20990
 2006 11 15     0.26250     0.24064     0.30676     0.37699     0.15224     0.29808     0.20465     0.17127     0.27239     1.05454     0.37062     0.61709     0.31364     0.38884     0.24942
 2006 12 16     0.24581     0.20982     0.27414     0.38293     0.50240     0.27827     0.23217     0.22680     0.27778     1.17389     0.30754     0.48287     0.44090     0.42667     0.48025
 2007  1 16     0.22601     0.21628     0.18320     0.24055     0.52112     0.24553     0.21625     0.15632     0.21935     0.80324     0.28957     0.47781     0.53221     0.31293     0.36393
 2007  2 14     0.23859     0.20771     0.16891     0.21084     0.48610     0.24745     0.23445     0.13593     0.21188     0.63480     0.34547     0.40860     0.24395     0.24316     0.31694
 2007  3 16     0.25602     0.24529     0.16159     0.17624     0.25509     0.24336     0.21726     0.13815     0.21177     0.54323     0.33016     0.36693     0.25246     0.21192     0.22089
 2007  4 15     0.25096     0.20882     0.15727     0.15108     0.15817     0.24810     0.20507     0.15193     0.18634     0.31005     0.29633     0.33631     0.20835     0.18130     0.18908
 2007  5 16     0.23262     0.18297     0.16174     0.17444     0.20670     0.24638     0.20022     0.16016         NaN         NaN     0.28887     0.42777     0.24572     0.17608     0.16540
 2007  6 15     0.22021     0.18268     0.18072     0.18759         NaN     0.22385     0.18970         NaN         NaN         NaN     0.29110     0.52344     0.24157         NaN         NaN
 2007  7 16     0.22115     0.16736     0.17369     0.18163         NaN     0.21730     0.16862         NaN         NaN         NaN     0.27446     0.42518     0.19116     0.15129         NaN
 2007  8 16     0.22361     0.16531     0.16231     0.16023     0.16428     0.24535     0.16339     0.15535     0.23385         NaN     0.26311     0.35088     0.18301     0.17947     0.18527
 2007  9 15     0.25153     0.17087     0.16738     0.16546     0.14917     0.33773     0.19438     0.15050     0.14964         NaN     0.34849     0.57704     0.22639     0.20537     0.18260
 2007 10 16     0.25150     0.18379     0.21394     0.18750     0.20692     0.29979     0.17628     0.16849     0.18647     0.11965     0.42414     0.61147     0.24069     0.24082     0.26569
 2007 11 15     0.27728     0.21281     0.27926     0.30574     0.16443     0.31491     0.20414     0.20635     0.25225     0.56520     0.33149     0.54999     0.28853     0.27230     0.25748
 2007 12 16     0.26099     0.21339     0.22520     0.35633     0.32211     0.26039     0.22292     0.25264     0.26848     0.55607     0.26454     0.59763     0.43173     0.31618     0.36530
 2008  1 16         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 2008  4 15     0.24294     0.20245     0.15064     0.15007     0.12387     0.22893     0.21775     0.15896     0.21619     0.34538     0.31286     0.38405     0.21288     0.18138     0.16127
 2008  5 16     0.24273     0.18811     0.15334     0.16421         NaN     0.23267     0.19393         NaN         NaN         NaN     0.31436     0.45876     0.23988     0.18753         NaN
 2008  6 15     0.23305     0.18675     0.17145         NaN         NaN     0.23615     0.18758         NaN         NaN         NaN     0.28057     0.46585     0.22346         NaN         NaN
 2008  7 16         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 2008  8 16     0.21973     0.15674     0.16224     0.15606     0.14990     0.25651     0.17370     0.15018     0.15717         NaN     0.29849     0.41585     0.18591     0.17307     0.16383
 2008  9 15     0.21956     0.16118     0.17067     0.16612     0.13671     0.36345     0.18869     0.14771     0.15437     0.15877     0.28702     0.70379     0.23233     0.20861     0.17690
 2008 10 16     0.24737     0.18898     0.20993     0.20764     0.21352     0.33499     0.17659     0.15594     0.23522     0.17317     0.36446     0.54139     0.28102     0.31634     0.22743
 2008 11 15     0.26225     0.19565     0.22728     0.31953     0.20836     0.29378     0.19219     0.19790     0.38189     0.59775     0.38210     0.59943     0.35883     0.34080     0.27697
 2008 12 16     0.25209     0.17987     0.17114     0.28651     0.34221     0.24565     0.23037     0.27481     0.37225     0.75391     0.34260     0.67360     0.53323     0.39594     0.61019
 2009  1 16     0.24996     0.20383     0.14975     0.24398     0.42523     0.23341     0.23285     0.17157     0.25733     0.70636     0.30911     0.45558     0.34393     0.32659     0.61770
 2009  2 14     0.26925     0.22166     0.15904     0.21435     0.39731     0.26151     0.25093     0.12814     0.25819     0.56580     0.30020     0.47262     0.34732     0.26091     0.58531
