 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 2006  5 16     0.03512     0.03242     0.03175     0.03310     0.03197     0.03809     0.03334         NaN         NaN         NaN     0.04076     0.05505     0.03903     0.03452     0.03365
 2006  6 15     0.03564     0.03266     0.03458     0.03981         NaN     0.03685     0.03218         NaN         NaN         NaN     0.04112     0.05762     0.03755         NaN         NaN
 2006  7 16     0.03663     0.03058     0.03215     0.03387         NaN     0.03663     0.03109         NaN         NaN         NaN     0.04168     0.05322     0.03732     0.03333         NaN
 2006  8 16     0.03672     0.03101     0.03197     0.03045     0.03218     0.03962     0.03055     0.03007     0.03009         NaN     0.04356     0.05419     0.03400     0.03236     0.03223
 2006  9 15     0.03662     0.03154     0.03434     0.03173     0.02975     0.04594     0.03082     0.02896     0.02979     0.02553     0.04796     0.07617     0.03516     0.03450     0.03317
 2006 10 16     0.03794     0.03484     0.03840     0.03468     0.02954     0.04444     0.03312     0.03126     0.03426     0.03125     0.04780     0.07004     0.03879     0.04132     0.03639
 2006 11 15     0.03829     0.03761     0.04214     0.04310     0.02957     0.04001     0.03405     0.03247     0.03958     0.08840     0.04689     0.06624     0.04292     0.04840     0.03696
 2006 12 16     0.03641     0.03579     0.03911     0.04510     0.04297     0.03832     0.03585     0.03676     0.04008     0.08064     0.04080     0.05573     0.05024     0.04829     0.05062
 2007  1 16     0.03451     0.03613     0.03415     0.03738     0.04466     0.03445     0.03475     0.03138     0.03539     0.07508     0.03896     0.05418     0.05332     0.04107     0.04104
 2007  2 14     0.03515     0.03513     0.03241     0.03485     0.04599     0.03435     0.03556     0.02998     0.03488     0.05415     0.04142     0.05178     0.03891     0.03752     0.03827
 2007  3 16     0.03736     0.03829     0.03179     0.03274     0.03696     0.03555     0.03522     0.02932     0.03436     0.04846     0.04112     0.04961     0.03852     0.03648     0.03570
 2007  4 15     0.03822     0.03601     0.03127     0.03016     0.03175     0.03694     0.03436     0.03001     0.03125     0.04140     0.04130     0.04874     0.03632     0.03376     0.03433
 2007  5 16     0.03718     0.03356     0.03117     0.03288     0.03792     0.03873     0.03380     0.03083         NaN         NaN     0.04279     0.05353     0.04045     0.03353     0.03293
 2007  6 15     0.03646     0.03301     0.03314     0.03447         NaN     0.03645     0.03322         NaN         NaN         NaN     0.04400     0.06447     0.04116         NaN         NaN
 2007  7 16     0.03696     0.03139     0.03253     0.03310         NaN     0.03661     0.03088         NaN         NaN         NaN     0.04186     0.05251     0.03480     0.02995         NaN
 2007  8 16     0.03705     0.03144     0.03164     0.03088     0.03226     0.03866     0.03037     0.02984     0.03045         NaN     0.04070     0.04834     0.03423     0.03347     0.03481
 2007  9 15     0.03973     0.03219     0.03222     0.03208     0.03032     0.04671     0.03306     0.02991     0.02975         NaN     0.04777     0.06135     0.03559     0.03582     0.03262
 2007 10 16     0.03883     0.03306     0.03578     0.03406     0.03469     0.04235     0.03171     0.03201     0.03356     0.02742     0.05196     0.06774     0.03805     0.03918     0.03794
 2007 11 15     0.03931     0.03505     0.04057     0.04130     0.03090     0.03975     0.03362     0.03581     0.03912     0.04001     0.04408     0.06096     0.04182     0.04075     0.03897
 2007 12 16     0.03732     0.03558     0.03663     0.04430     0.03518     0.03551     0.03414     0.03875     0.04060     0.05706     0.03788     0.06463     0.05182     0.04308     0.04126
 2008  1 16     0.03778     0.03529     0.03022     0.03017     0.02780     0.03514     0.03572     0.03110     0.03616     0.04322     0.04287     0.04980     0.03698     0.03363     0.03207
 2008  4 15     0.03856     0.03434     0.03050     0.03197         NaN     0.03721     0.03349         NaN         NaN         NaN     0.04506     0.05826     0.03940     0.03379         NaN
 2008  5 16     0.03790     0.03404     0.03237         NaN         NaN     0.03760     0.03300         NaN         NaN         NaN     0.04272     0.05735     0.03854         NaN         NaN
 2008  6 15         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 2008  7 16     0.03633     0.03077     0.03194     0.03091     0.03023     0.04007     0.03212     0.02979     0.03151         NaN     0.04411     0.05270     0.03430     0.03334     0.03217
 2008  8 16     0.03663     0.03125     0.03278     0.03237     0.02878     0.04838     0.03233     0.02963     0.03080     0.03133     0.04270     0.06838     0.03744     0.03591     0.03336
 2008  9 15     0.03835     0.03369     0.03617     0.03596     0.03573     0.04536     0.03200     0.03133     0.03724     0.03166     0.04837     0.06353     0.04191     0.04498     0.03693
 2008 10 16     0.03827     0.03430     0.03740     0.04251     0.03264     0.04009     0.03300     0.03495     0.04719     0.05432     0.04842     0.06507     0.04664     0.04515     0.04067
 2008 11 15     0.03632     0.03294     0.03316     0.03961     0.03747     0.03508     0.03498     0.03964     0.04613     0.06176     0.04320     0.06591     0.05636     0.04922     0.05047
 2008 12 16     0.03633     0.03522     0.03134     0.03591     0.04339     0.03323     0.03515     0.03191     0.03760     0.05786     0.03973     0.05337     0.04485     0.04311     0.05821
 2009  1 16     0.03755     0.03647     0.03112     0.03457     0.04315     0.03441     0.03680     0.02962     0.03697     0.05327     0.03963     0.05636     0.04689     0.03961     0.05458
 2009  2 14     0.04123     0.03812     0.03080     0.03385     0.03833     0.03670     0.03751     0.02914     0.03413     0.04430     0.03915     0.05476     0.04260     0.03836     0.04377
 2009  3 16     0.03867     0.03592     0.03091     0.03189     0.02835     0.03683     0.03472     0.02884     0.03366     0.03489     0.04147     0.05500     0.04034     0.03562     0.03473
